X,Y,OBJECTID,ID,Status,Name,GRIS_ObjektKZ,GRIS_ObjektBez
12.95809612005306,50.867848895197959,1,1,10,Spielplatz Schneller Markt,0040,Schneller Markt/Spielplatz
12.9531286173015,50.862400582995399,2,2,10,Spielplatz Bahnhof Hilbersdorf,0004-01,Frankenberger Str./Bahnhof Hilbersdorf-Sppl.
12.942917241672038,50.851565753638702,3,4,10,Spielplatz Scharnhorstplatz,0035-01,Scharnhorstplatz SP
12.94891577711593,50.84279195862424,4,5,10,Dirtstrecke Forststraße,0682-01,Forststr./Dirtstrecke SP
12.949756662332135,50.844004098124223,5,6,10,Forststr./Spielplatz-Zeisigwald,0054,Forststr./Spielplatz-Zeisigwald
12.9388257607818,50.839866695703037,6,7,10,Spielplatz Lessingplatz,0083-01,Lessingplatz SP
12.93538396908132,50.832023664791443,7,9,10,Spielplatz Bunte Gärten Martinstraße,1244-02,"Augustusburger Str./""Bunte Gärten""-Funpark-Sppl."
12.937084427437492,50.831278029106251,8,10,10,Spielplatz Bunte Gärten Tschaikowskistraße,1244-01,"Augustusburger Str./""Bunte Gärten""-Sppl."
12.935717134777462,50.83358052030745,9,11,10,Spielplatz Sonnenstraße/Martinstraße,0095,Sonnenstr./Ecke Martinstr. SP
12.932716820856744,50.835360763750089,10,12,10,Bolzplatz Hainstraße 43,0072,Hainstr.43/Spielplatz
12.903070877103916,50.856196832056,11,15,10,Spielplatz Hölderlinstraße,0197,Hölderlinstr./Spielplatz
12.88810648155941,50.848399713718003,12,16,10,Spielplatz am Botanischen Garten/Crimmitschauer Wald,1192,Botanischer Garten/Crimmitschauer Wald-Sppl.
12.889828567365099,50.85056791506522,13,17,10,Spielplatz Botanischer Garten / Tropenhaus,1193,Botanischer Garten/kleiner Sppl.
12.910306209409358,50.872560445769693,14,18,10,Spielplatz Park Glösa,0204-01,Park Glösa SP
12.925936368316336,50.879411123532094,15,19,10,Spielplatz am Genossenschaftsplatz,0194, Genossenschaftsplatz Glösa
12.83319503053289,50.860656524348478,16,20,10,Spielplatz am Gemeindepark/Chemnitzer Straße,0861-01, Limbacher Str./Gemeindepark/Röhrsdorf SP
12.836280860403907,50.863718106167603,17,21,10,Bolzplatz am Beethovenweg,0883,Beethovenweg/Bolzplatz-Röhrsdorf
12.942491840128637,50.810714981971039,18,23,10,Spielplatz Grünband,0373-01,Grünband SP
12.932760537056044,50.821667835830745,19,25,10,Spielplatz Rosenplatz,0430-01,Rosenplatz SP
12.900631303295707,50.819400514777996,20,27,10,Spielplatz Lortzingstraße/Haydnstraße,0305,Lortzingstr./Haydnstr. SP
12.937029987416089,50.823789934746628,21,28,10,Spielplatz Blücherplatz,0411-01,Blücherplatz SP
12.914609616580281,50.830566933411149,22,30,10,Spielplatz Park am Falkeplatz,0090-01,Park am Falkeplatz SP
12.927005691648187,50.831251190952919,23,31,10,Spielplatz im Park der Opfer des Faschismus,0089-01,Park der OdF SP
12.916541877584137,50.840090938027629,24,34,10,Spielplatz Uferpark,1090-01,Uferpark SP
12.917694334461306,50.839635972577639,25,34,10,Spielplatz Uferpark,1090-01,Uferpark SP
12.916101964751359,50.839518527937493,26,34,10,Spielplatz Uferpark,1090-01,Uferpark SP
12.916694897949588,50.838968493225288,27,34,10,Spielplatz Uferpark,1090-01,Uferpark SP
12.923859840653948,50.832789198028983,28,37,10,Spielplatz Wallanlage Johannisplatz,0091-01,Johannisplatz-Sppl.
12.96162517535819,50.82072134246738,29,40,10,Fußballplatz Liddy-Ebersberger-Straße,0432-01,Liddy-Ebersberger-Str./Bolzplatz SP
12.879426417639191,50.839201354111083,30,42,10,Spielplatz Albert-Schweitzer-Straße,0213-01,Albert-Schweitzer-Str./ Indianerspielplatz SP
12.884395159304917,50.837733032460463,31,43,10,Spielplatz Am Karbel/Achatstraße,0224,Am Karbel/Achatstr.-Spielplatz
12.880284340111407,50.841296345618069,32,44,10,Spielplatz Flemmingstraße/Seitental,0235-01,Flemmingstr./Seitental SP
12.890632979126432,50.832367422227172,33,45,10,Spielplatz Bodelschwinghplatz,0296-01,Bodelschwinghplatz SP
12.901827173367337,50.835930792746588,34,46,10,Spielplatz Andréplatz,0285-01,Andreplatz/Sppl.
12.900998124481024,50.830174821556604,35,47,10,Spielplatz Gerhart-Hauptmann-Platz/Nord,0299-01,Gerhart-Hauptmann-Platz-SP-1
12.90131608639993,50.829277273544577,36,48,10,Spielplatz Gerhart-Hauptmann-Platz/Süd,0299-02,Gerhard-Hauptmann-Platz-SP-2
12.911976712689343,50.840715894330252,37,50,10,Spielplatz Schloßteichinsel,0038-01,Schloßteichanlagen-Insel-Sppl.
12.91057789828368,50.845252338870608,38,52,10,Spielplatz Schloßplatz,0037-01,Schloßplatz SP
12.919983272748208,50.850032424799082,39,53,10,Spielplatz Schönherrpark,0041-01,Schönherrpark-SP
12.903272925238097,50.842145325,40,55,10,Spielplatz Luisenplatz,0203-01,Luisenplatz SP
12.905704681617227,50.848409358920492,41,56,10,Spielplatz Küchwald,0199,Küchwaldpark/Sppl.
12.909189623260438,50.847878425463442,42,57,10,Spielplatz Küchwald/Parkeisenbahn,0198-01,Küchwaldpark Bf-Parkeisenbahn SP
12.911018808839234,50.84799639366539,43,58,10,Spielmeile Küchwald,1176,Küchwald/Spielmeile
